"Date","Price","Open","High","Low","Vol.","Change %"
"08/15/2021","93.493","92.490","93.710","92.460","1.73K","1.07%"
"08/08/2021","92.501","92.805","93.175","92.450","1.60K","-0.30%"
"08/01/2021","92.780","92.100","92.825","91.800","1.13K","0.66%"
"07/25/2021","92.168","92.880","92.915","91.775","1.93K","-0.80%"
"07/18/2021","92.908","92.690","93.160","92.495","2.07K","0.26%"
"07/11/2021","92.667","92.120","92.790","92.075","0.54K","0.61%"
"07/04/2021","92.103","92.235","92.820","91.985","0.67K","-0.31%"
"06/27/2021","92.393","91.735","92.695","91.675","0.63K","0.61%"
"06/20/2021","91.829","92.225","92.315","91.500","0.51K","-0.39%"
"06/13/2021","92.189","90.490","92.345","90.320","11.03K","1.84%"
"06/06/2021","90.527","90.170","90.580","89.795","97.15K","0.43%"
"05/30/2021","90.140","90.010","90.625","89.650","6.50K","0.16%"
"05/23/2021","89.998","89.975","90.430","89.545","2.39K","-0.02%"
"05/16/2021","90.013","90.350","90.400","89.645","2.00K","-0.36%"
"05/09/2021","90.337","90.155","90.910","89.930","3.26K","0.15%"
"05/02/2021","90.201","91.245","91.410","90.165","1.07K","-1.14%"
"04/25/2021","91.244","90.800","91.275","90.400","0.75K","0.46%"
"04/18/2021","90.829","91.570","91.700","90.785","1.22K","-0.76%"
"04/11/2021","91.529","92.215","92.360","91.475","0.67K","-0.67%"
"04/04/2021","92.150","92.960","93.090","92.000","0.60K","-0.95%"
"03/28/2021","93.036","92.770","93.430","92.730","0.51K","0.30%"
"03/21/2021","92.755","92.065","92.890","91.690","0.63K","0.92%"
"03/14/2021","91.905","91.655","92.120","91.290","28.83K","0.25%"
"03/07/2021","91.677","91.900","92.530","91.340","106.91K","-0.34%"
"02/28/2021","91.989","90.925","92.210","90.620","12.71K","1.24%"
"02/21/2021","90.862","90.330","90.955","89.655","5.05K","0.57%"
"02/14/2021","90.343","90.300","91.020","90.080","1.46K","-0.10%"
"02/07/2021","90.435","90.930","91.185","90.210","1.27K","-0.63%"
"01/31/2021","91.007","90.575","91.570","90.465","1.14K","0.52%"
"01/24/2021","90.540","90.215","90.830","90.040","0.79K","0.40%"
"01/17/2021","90.182","90.675","90.910","90.015","0.75K","-0.60%"
"01/10/2021","90.727","90.205","90.750","89.880","0.82K","0.75%"
"01/03/2021","90.048","89.735","90.145","89.155","0.76K","0.21%"
