"Date","Price","Open","High","Low","Vol.","Change %"
"11/13/2022","81.617","80.500","81.829","80.500","","1.42%"
"11/06/2022","80.477","82.050","82.320","80.456","","-1.81%"
"10/30/2022","81.962","82.359","82.969","81.958","","-0.36%"
"10/23/2022","82.261","82.598","82.864","81.938","","-0.32%"
"10/16/2022","82.529","82.400","83.262","81.998","","0.23%"
"10/09/2022","82.340","82.680","82.695","82.084","","-0.58%"
"10/02/2022","82.820","81.504","82.820","81.265","","1.61%"
"09/25/2022","81.509","81.310","82.005","81.142","","0.32%"
"09/18/2022","81.250","79.686","81.266","79.569","","1.96%"
"09/11/2022","79.686","79.648","79.858","78.998","","0.06%"
"09/04/2022","79.635","79.900","79.957","79.434","","-0.10%"
"08/28/2022","79.717","79.974","80.130","79.273","","-0.31%"
"08/21/2022","79.961","79.876","79.994","79.665","","0.05%"
"08/14/2022","79.920","79.643","79.920","79.138","","0.35%"
"08/07/2022","79.641","79.400","79.745","79.001","","0.35%"
"07/31/2022","79.360","79.170","79.813","78.380","","0.03%"
"07/24/2022","79.336","79.757","79.974","79.160","","-0.62%"
"07/17/2022","79.830","79.788","80.065","79.687","","0.09%"
"07/10/2022","79.760","79.250","80.210","79.250","","0.63%"
"07/03/2022","79.260","78.954","79.410","78.841","","0.42%"
"06/26/2022","78.928","78.263","79.131","78.176","","0.89%"
"06/19/2022","78.230","77.975","78.390","77.851","","0.38%"
"06/12/2022","77.935","78.168","78.306","77.889","","-0.23%"
"06/05/2022","78.116","77.661","78.180","77.537","","0.67%"
"05/29/2022","77.592","77.578","77.723","77.360","","0.00%"
"05/22/2022","77.596","77.650","77.710","77.417","","-0.33%"
"05/15/2022","77.850","77.490","77.888","77.352","","0.49%"
"05/08/2022","77.470","76.972","77.630","76.972","","0.67%"
"05/01/2022","76.956","76.500","77.057","75.985","","0.57%"
"04/24/2022","76.520","76.528","76.789","76.249","","0.08%"
"04/17/2022","76.460","76.285","76.545","76.058","","0.20%"
"04/10/2022","76.305","75.940","76.339","75.779","","0.48%"
"04/03/2022","75.938","75.900","76.055","75.238","","-0.05%"
"03/27/2022","75.973","76.310","76.380","75.539","","-0.40%"
"03/20/2022","76.280","76.029","76.520","75.968","","0.30%"
"03/13/2022","76.050","76.634","76.700","75.730","","-0.57%"
"03/06/2022","76.483","76.650","77.159","76.051","","0.10%"
"02/27/2022","76.410","75.740","76.423","75.255","","1.80%"
"02/20/2022","75.060","74.567","75.820","74.326","","0.52%"
"02/13/2022","74.670","75.543","75.721","74.452","","-0.86%"
"02/06/2022","75.319","74.670","75.501","74.570","","0.91%"
"01/30/2022","74.640","75.008","75.050","74.405","","-0.53%"
"01/23/2022","75.034","74.346","75.308","74.281","","0.88%"
"01/16/2022","74.383","74.165","74.720","74.120","","0.31%"
"01/09/2022","74.151","74.210","74.230","73.741","","-0.16%"
"01/02/2022","74.271","74.458","74.703","74.239","","-0.26%"
"12/26/2021","74.467","74.999","75.170","74.087","","-0.68%"
"12/19/2021","74.975","76.020","76.178","74.969","","-1.33%"
"12/12/2021","75.985","75.670","76.408","75.565","","0.39%"
"12/05/2021","75.692","75.176","75.859","75.176","","0.62%"
"11/28/2021","75.224","74.809","75.332","74.781","","0.25%"
"11/21/2021","75.040","74.330","75.080","74.281","","0.95%"
"11/14/2021","74.333","74.344","74.530","74.010","","-0.01%"
"11/07/2021","74.342","74.207","74.590","73.829","","0.23%"
"10/31/2021","74.174","74.930","75.040","74.154","","-0.99%"
"10/24/2021","74.915","74.940","75.177","74.735","","-0.10%"
"10/17/2021","74.994","75.021","75.389","74.667","","-0.03%"
"10/10/2021","75.013","75.100","75.665","74.866","","-0.13%"
"10/03/2021","75.112","74.127","75.178","74.115","","1.32%"
"09/26/2021","74.131","73.680","74.370","73.605","","0.43%"
"09/19/2021","73.813","73.818","73.930","73.550","","0.23%"
"09/12/2021","73.640","73.540","73.782","73.330","","0.17%"
